index,x,y,z,vx,vy,vz,mass,fx,fy,fz
0,0,0,0,-0.394517,0.363847,0.334077,1,8.86264e-14,8.82956e-14,8.73696e-14
1,0,0,1.12246,0.965533,-0.651403,-0.0898175,1,8.85176e-14,8.79511e-14,2.14943e-16
2,0,0,2.24492,-1.42995,-0.350836,0.276462,1,8.87797e-14,8.85007e-14,-1.07336e-16
3,0,0,3.36739,-0.663133,0.0550732,-0.114889,1,8.85382e-14,8.79435e-14,-9.13982e-17
4,0,0,4.48985,0.011266,-0.304754,-0.378792,1,8.77626e-14,8.71855e-14,3.57638e-16
5,0,0,5.61231,-0.0877577,0.155904,-0.546193,1,8.91347e-14,8.83648e-14,3.74104e-16
6,0,0,6.73477,0.0964995,-0.0260781,0.802254,1,8.88976e-14,8.81798e-14,-7.26415e-17
7,0,0,7.85723,-0.0787341,-0.373746,1.35404,1,8.8781e-14,8.84709e-14,-3.13443e-16
8,0,0,8.9797,-1.44112,0.791982,0.55051,1,8.77626e-14,8.70745e-14,-8.64516e-17
9,0,0,10.1022,-0.784993,0.799641,0.262667,1,8.8969e-14,8.84549e-14,3.7035e-16
10,0,0,11.2246,-0.278435,-0.822903,0.39947,1,8.84063e-14,8.83783e-14,-3.57245e-17
11,0,0,12.3471,-0.503834,-0.97826,-0.252121,1,8.84024e-14,8.83452e-14,-3.36103e-17
12,0,0,13.4695,-0.331593,0.0457346,-0.126776,1,8.86107e-14,8.75554e-14,8.04478e-17
13,0,0,14.592,0.846761,0.493541,-0.123475,1,8.77065e-14,8.74948e-14,1.93521e-15
14,0,0,15.7145,-0.64754,0.841036,0.555004,1,8.93617e-14,8.87043e-14,-8.78145e-14
15,0,0,16.8369,1.87821,0.185256,1.16194,1,8.8247e-14,8.72218e-14,1.75492e-13
16,0,0,17.9594,0.322161,0.0593913,-1.07214,1,8.85413e-14,8.77081e-14,-3.05745e-17
17,0,0,19.0819,0.506947,-0.599369,-0.365684,1,8.78408e-14,8.80365e-14,-1.75599e-13
18,0,0,20.2043,-0.0353466,-0.196661,-1.10979,1,8.89702e-14,8.85348e-14,3.34205e-16
19,0,0,21.3268,-0.568465,0.658125,0.478615,1,8.87855e-14,8.75385e-14,1.74202e-13
20,0,0,22.4492,0.4906,0.121542,0.46764,1,8.85557e-14,8.80517e-14,-2.63786e-16
21,0,0,23.5717,0.166432,-0.120746,0.823824,1,8.91628e-14,8.73032e-14,-1.77254e-13
22,0,1.12246,0,-0.178683,-0.54709,0.857426,1,8.89519e-14,1.55095e-16,8.68351e-14
23,0,1.12246,1.12246,0.869872,-1.11735,0.450393,1,8.91605e-14,2.65901e-16,3.9427e-16
24,0,1.12246,2.24492,-1.45366,0.756581,-0.663709,1,8.93216e-14,1.31026e-16,-7.03647e-17
25,0,1.12246,3.36739,0.551396,-0.437367,0.234153,1,8.89848e-14,3.16208e-16,2.7864e-17
26,0,1.12246,4.48985,-0.9832,-0.200563,-0.0442176,1,8.89488e-14,1.11077e-16,2.00167e-15
27,0,1.12246,5.61231,0.676837,1.27035,0.409802,1,9.09236e-14,1.61167e-16,1.9577e-15
28,0,1.12246,6.73477,0.206502,-0.73029,-1.00738,1,8.90249e-14,2.29905e-16,1.03108e-16
29,0,1.12246,7.85723,0.130434,0.0947133,0.429225,1,9.00742e-14,3.99474e-16,2.7864e-17
30,0,1.12246,8.9797,0.495237,0.254324,-1.04167,1,8.89488e-14,2.22099e-16,2.00167e-15
31,0,1.12246,10.1022,0.62825,-0.0761261,-0.679009,1,9.12307e-14,1.61167e-16,2.06596e-15
32,0,1.12246,11.2246,-0.29849,-0.993005,-0.245716,1,8.93997e-14,1.84369e-16,-1.24683e-18
33,0,1.12246,12.3471,0.527705,-0.23375,-0.612556,1,8.96364e-14,1.70057e-16,-3.57787e-18
34,0,1.12246,13.4695,-0.187499,0.325231,-0.958324,1,8.84638e-14,3.1881e-16,2.11419e-16
35,0,1.12246,14.592,-0.72685,0.0885169,-0.887478,1,8.86717e-14,4.87891e-19,3.58791e-15
36,0,1.12246,15.7145,1.3743,-0.110207,-0.64473,1,9.12889e-14,9.35124e-17,-8.58819e-14
37,0,1.12246,16.8369,-0.583863,-0.343974,-0.405736,1,9.05211e-14,4.79922e-16,1.75409e-13
38,0,1.12246,17.9594,-1.48711,0.894281,-0.0127917,1,8.9227e-14,3.93836e-16,1.00397e-16
39,0,1.12246,19.0819,-0.0238914,0.57823,-0.749367,1,8.90757e-14,2.10877e-17,-1.72488e-13
40,0,1.12246,20.2043,-0.542022,0.322722,-0.0474505,1,9.21146e-14,1.49457e-16,2.6836e-15
41,0,1.12246,21.3268,0.239996,-0.0582846,-0.172918,1,9.08583e-14,7.00666e-16,1.73847e-13
42,0,1.12246,22.4492,1.01165,0.753967,-1.77305,1,8.97001e-14,2.19063e-16,-3.75947e-16
43,0,1.12246,23.5717,1.04484,1.52869,0.871323,1,8.95085e-14,1.2734e-16,-1.77788e-13
44,0,2.24492,0,-0.156409,-0.490047,0.514104,1,8.94198e-14,-1.28153e-16,8.77513e-14
45,0,2.24492,1.12246,-0.44331,0.250947,-0.0173266,1,8.91387e-14,-1.13733e-16,2.7723e-16
46,0,2.24492,2.24492,0.858923,-0.27758,-0.315695,1,9.00686e-14,-3.05745e-16,-1.11564e-16
47,0,2.24492,3.36739,0.263618,1.36928,0.0555793,1,8.91513e-14,1.0327e-16,-8.31583e-17
48,0,2.24492,4.48985,-0.299689,0.606322,0.507225,1,8.89459e-14,-2.57335e-16,9.76107e-16
49,0,2.24492,5.61231,-0.678932,-0.381569,0.775452,1,9.04407e-14,-1.03867e-16,1.33953e-15
50,0,2.24492,6.73477,0.298909,-1.75215,0.339832,1,8.97234e-14,-2.086e-16,1.66859e-16
51,0,2.24492,7.85723,0.652228,-0.59523,0.478203,1,9.0331e-14,1.30646e-17,2.82977e-17
52,0,2.24492,8.9797,1.3227,0.279452,-0.445281,1,8.89459e-14,-3.52908e-17,1.4202e-15
53,0,2.24492,10.1022,-0.37483,0.00772391,0.265964,1,9.07477e-14,2.79724e-17,1.11575e-15
54,0,2.24492,11.2246,0.0400471,0.354039,-0.105978,1,8.913e-14,-1.13733e-16,4.21755e-17
55,0,2.24492,12.3471,0.123548,0.682386,-0.756616,1,9.00495e-14,-3.05745e-16,-6.12574e-17
56,0,2.24492,13.4695,0.072574,0.0734549,0.650793,1,8.95211e-14,9.76866e-17,1.08637e-16
57,0,2.24492,14.592,-0.165197,0.461395,0.779818,1,8.9145e-14,-2.80429e-16,2.56322e-15
58,0,2.24492,15.7145,-1.31571,0.826863,-0.700299,1,9.16803e-14,-1.12594e-16,-8.6632e-14
59,0,2.24492,16.8369,-0.77992,-2.0426,-0.571145,1,9.03334e-14,-1.61275e-16,1.75382e-13
60,0,2.24492,17.9594,-0.00792862,-0.273232,-0.329676,1,9.06835e-14,-1.2696e-16,1.08203e-16
61,0,2.24492,19.0819,-0.793074,0.613216,0.67755,1,8.9903e-14,-3.04932e-16,-1.73507e-13
62,0,2.24492,20.2043,0.291895,-1.33877,1.60963,1,9.16031e-14,-1.12594e-16,1.73303e-15
63,0,2.24492,21.3268,0.0996964,0.380984,-1.06388,1,9.03673e-14,-1.47397e-16,1.73937e-13
64,0,2.24492,22.4492,-0.0125974,0.291489,-0.101692,1,9.06796e-14,-1.32923e-16,-3.55185e-16
65,0,2.24492,23.5717,0.613742,0.920228,-0.954166,1,8.98533e-14,-2.59666e-16,-1.77388e-13
66,0,3.36739,0,0.598118,0.278011,-0.00514517,1,8.88367e-14,-7.15573e-17,8.74787e-14
67,0,3.36739,1.12246,-1.11795,1.04747,0.279435,1,8.90389e-14,6.83047e-18,4.11346e-16
68,0,3.36739,2.24492,-1.26853,-0.17386,0.230134,1,8.94827e-14,2.7864e-17,-7.75747e-17
69,0,3.36739,3.36739,0.354597,-0.0919671,0.240318,1,8.88792e-14,-1.8979e-16,1.16443e-16
70,0,3.36739,4.48985,1.49748,1.09474,-0.674878,1,8.86524e-14,-2.27682e-18,1.59605e-15
71,0,3.36739,5.61231,-0.427593,-0.0803415,-1.24164,1,9.11404e-14,1.50487e-16,1.63769e-15
72,0,3.36739,6.73477,-0.955333,-1.15104,-0.815372,1,8.92259e-14,6.94974e-17,1.10643e-16
73,0,3.36739,7.85723,0.980527,-0.607748,-0.729844,1,8.94343e-14,-2.93873e-16,5.42101e-18
74,0,3.36739,8.9797,0.621309,-0.320002,0.294934,1,8.88745e-14,-2.27682e-18,1.15196e-15
75,0,3.36739,10.1022,-0.520652,-1.27877,0.329722,1,9.05714e-14,3.9465e-17,1.63769e-15
76,0,3.36739,11.2246,-1.10421,-0.363376,-0.521365,1,8.9254e-14,-1.04192e-16,-8.45678e-18
77,0,3.36739,12.3471,0.133985,-0.395594,-0.0923606,1,8.89137e-14,-3.05203e-16,-1.16552e-17
78,0,3.36739,13.4695,-1.11068,1.41642,-0.852524,1,8.83403e-14,-1.84152e-16,2.13154e-16
79,0,3.36739,14.592,0.847106,0.104694,0.098065,1,8.86727e-14,-7.74662e-17,3.42396e-15
80,0,3.36739,15.7145,0.246743,-1.33436,0.683205,1,9.15021e-14,6.47811e-17,-8.62166e-14
81,0,3.36739,16.8369,-0.366666,0.85647,-0.109019,1,9.02721e-14,-3.02492e-16,1.75404e-13
82,0,3.36739,17.9594,-0.269963,-0.916787,-0.544444,1,8.97853e-14,-2.11907e-16,9.86624e-17
83,0,3.36739,19.0819,0.294869,-0.928623,-1.41284,1,8.9879e-14,-2.15648e-16,-1.7334e-13
84,0,3.36739,20.2043,-0.612355,0.593918,1.26084,1,9.23208e-14,-1.01752e-16,1.91431e-15
85,0,3.36739,21.3268,-0.484668,-1.09939,-0.245042,1,9.06468e-14,-1.35959e-16,1.73933e-13
86,0,3.36739,22.4492,0.125839,0.408124,1.51131,1,8.9969e-14,-3.32687e-16,-3.8294e-16
87,0,3.36739,23.5717,0.156315,1.17195,-0.329959,1,8.93893e-14,-3.97414e-16,-1.77536e-13
88,0,4.48985,0,0.0568759,-0.421777,-0.483834,1,8.77494e-14,-3.20097e-16,8.84265e-14
89,0,4.48985,1.12246,-0.1912,-0.200456,-0.429942,1,8.91999e-14,1.73739e-15,1.39266e-16
90,0,4.48985,2.24492,-0.393821,0.775943,1.49605,1,8.86159e-14,1.82178e-15,-1.47831e-16
91,0,4.48985,3.36739,-0.357779,-0.231461,0.37005,1,8.86037e-14,1.66533e-15,-1.83555e-16
92,0,4.48985,4.48985,2.25463,0.0581438,0.687629,1,8.70176e-14,1.58734e-15,-1.39053e-15
93,0,4.48985,5.61231,1.09031,0.242376,0.654739,1,8.73011e-14,8.20863e-16,1.616e-16
94,0,4.48985,6.73477,0.426377,0.730376,-0.735047,1,8.91753e-14,8.29523e-16,2.91108e-17
95,0,4.48985,7.85723,0.140319,0.339594,0.329255,1,8.88326e-14,1.20737e-15,-3.08998e-17
96,0,4.48985,8.9797,0.801483,0.315261,-0.813407,1,8.70176e-14,1.3653e-15,-1.39053e-15
97,0,4.48985,10.1022,0.414666,-0.627481,-0.497567,1,8.77494e-14,1.23422e-15,1.63782e-16
